id,name,source,website,phone,email,facebook,instagram,linkedin,pagespeed_mobile,pagespeed_desktop,created_at,updated_at,address,city,state,zip_code,category,rating,reviews,twitter,youtube,hours,description,yelp_url,campaign_status,last_contact,contact_count,session_id,session_name
11,Abilene Primary Care,Google Maps,http://abileneprimarycareclinic.com/,+1 325-231-4667,user@domain.com,https://www.facebook.com/profile.php?id=61577077240304,https://www.instagram.com/abileneprimarycare/,https://www.linkedin.com/company/commonspirithealth,,,2026-03-18T23:21:27.921447,2026-03-19T00:51:22.515467,,,,,,,,,,,,,,,,,
12,Houses Call Doctors of Texas,Google Maps,http://www.housecallsdoc.com/,+1 281-218-7200,,https://www.facebook.com/PriviaInc,https://www.instagram.com/priviahealth,https://www.linkedin.com/company/privia-health,,,2026-03-18T23:21:58.764276,2026-03-18T23:22:11.854953,,,,,,,,,,,,,,,,,
13,"West Texas Health, PLLC",Google Maps,https://www.care.texashealth.org/thpg/adult-care-8210-walnut-hill-lane-suite-718-dallas,+1 214-345-5999,,,,,,,2026-03-18T23:22:53.382024,2026-03-18T23:23:13.322700,,,,,,,,,,,,,,,,,
14,Texas Medical Center: Primary Care,Google Maps,https://www.westtexashealth.com/,+1 325-794-5422,info@westtexashealth.com,,,,,,2026-03-18T23:23:32.122663,2026-03-18T23:24:04.729727,,,,,,,,,,,,,,,,,
15,"Dr. Donna M. Jordan, DO",Google Maps,http://www.mdvip.com/doctors/jamespurpurado?utm_campaign=listing-yext&st-t=rep_&utm_source=google&utm_medium=organic,+1 325-793-5290,,,,,,,2026-03-18T23:24:38.068371,2026-03-18T23:24:44.475438,,,,,,,,,,,,,,,,,
16,"Steve M Gao, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/min-s-gao-md/,+1 325-670-5570,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:25:02.771823,2026-03-19T02:33:05.978279,,,,,,,,,,,,,,,,,
17,Wiseman Family Practice - Abilene,Google Maps,https://www.hendrickhealth.org/find-a-provider/min-s-gao-md/,+1 325-670-6460,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:25:30.043548,2026-03-18T23:25:30.043548,,,,,,,,,,,,,,,,,
18,Texas Tech Physicians of Lubbock,Google Maps,https://www.wisemanfamilypractice.com/locations/abilene/,+1 325-777-1190,info@wisemanfamilypractice.com,https://www.facebook.com/wisemanhealth,https://www.instagram.com/wisemanhealth/,https://www.linkedin.com/company/wisemanhealth/,,,2026-03-18T23:25:47.524618,2026-03-18T23:25:47.524618,,,,,,,,,,,,,,,,,
19,Texas Health Care PLLC,Google Maps,https://www.texastechphysicians.com/clinics/lubbock/default.aspx,+1 806-747-1780,,,,,,,2026-03-18T23:26:05.711035,2026-03-19T02:11:17.081005,,,,,,,,,,,,,,,,,
20,"Kathryn J Barton, APN",Google Maps,https://www.facebook.com/tyefamilycare,+1 325-701-7977,,,,,,,2026-03-18T23:26:38.706286,2026-03-18T23:26:38.706286,,,,,,,,,,,,,,,,,
21,"Jennifer Attmore, MD",Google Maps,https://www.abilenefamilypractice.com/,+1 325-672-3252,,https://www.facebook.com/abilenefamilypractice/,,,,,2026-03-18T23:27:15.263472,2026-03-19T02:11:31.934053,,,,,,,,,,,,,,,,,
22,"T Welch, MD",Google Maps,https://www.bswhealth.com/physician/t-welch?utm_source=pg-google&utm_medium=organic&utm_campaign=29985-9717516-1720040637,+1 979-207-3636,,,,,,,2026-03-18T23:27:52.547509,2026-03-19T02:33:49.596209,,,,,,,,,,,,,,,,,
23,"Brenda Y. Chavez, MD",Google Maps,https://www.hendrickhealth.org/,+1 325-670-2000,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:28:30.879817,2026-03-18T23:28:46.869177,,,,,,,,,,,,,,,,,
24,Abilene Center for Orthopedic & Multispeciality,Google Maps,https://www.facebook.com/profile.php?id=61567176543219,+1 325-793-5109,,https://web.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fweb.facebook.com%2Fpeople%2FBrenda-Y-Chavez-MD%2F61567176543219%2F,,,,,2026-03-18T23:28:57.797319,2026-03-18T23:29:09.263094,,,,,,,,,,,,,,,,,
25,"ENT Allergy, Asthma and Immunology Center",Google Maps,http://www.acomsurgery.com/,+1 325-232-8110,Erika.Painter@healthcrest.com,,,,,,2026-03-18T23:29:25.096024,2026-03-18T23:29:25.096024,,,,,,,,,,,,,,,,,
26,"Clifford L. Deprang, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/james-a-sweet-md/,+1 325-307-6226,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:29:43.813612,2026-03-18T23:30:01.872629,,,,,,,,,,,,,,,,,
27,DAVID W LONGLEY,Google Maps,http://www.colemancountymc.com/,+1 325-625-3533,melissa.ereman@colemancountymc.com,https://www.facebook.com/Coleman-County-Medical-Center-450989214985528/,,,,,2026-03-18T23:30:20.787349,2026-03-19T02:12:49.727502,,,,,,,,,,,,,,,,,
28,Texas Medical Association,Google Maps,http://www.texmed.org/,+1 512-370-1300,,,,,,,2026-03-18T23:31:14.686445,2026-03-19T02:13:59.994583,,,,,,,,,,,,,,,,,
29,"Grant E Jameson, MD",Google Maps,http://www.thchospitalist.com/,+1 817-740-8400,,https://www.facebook.com/PriviaInc,https://www.instagram.com/priviahealth,https://www.linkedin.com/company/privia-health,,,2026-03-18T23:31:51.214531,2026-03-18T23:31:51.214531,,,,,,,,,,,,,,,,,
30,Ballinger Memorial Hospital,Google Maps,https://www.ballingerhospital.org/,+1 325-365-2531,administration@bmhd.org,,,,,,2026-03-18T23:32:26.394075,2026-03-18T23:32:26.394075,,,,,,,,,,,,,,,,,
31,"Randy C Daniell, MD",Google Maps,http://www.ttuhsc.edu/?utm_source=GMBSocialClimb&utm_medium=TexasTechUniversityHealthSciencesCenter,+1 806-743-2669,,,,,,,2026-03-18T23:33:02.267425,2026-03-19T02:17:40.229892,,,,,,,,,,,,,,,,,
32,Eric Zavaleta,Google Maps,http://www.adamspediatrics.com/,+1 325-695-1600,contactus@adamspediatrics.com,https://www.facebook.com/AdamsPediatrics/,,,,,2026-03-18T23:34:31.621156,2026-03-18T23:34:31.621156,,,,,,,,,,,,,,,,,
33,Abilene Lung Physicians,Google Maps,https://weence.com/medical/doctors/abilene/douglas-fullerton/,+1 325-691-1899,,,,,,,2026-03-18T23:35:02.892714,2026-03-18T23:35:22.815715,,,,,,,,,,,,,,,,,
34,"Violeta Baddour, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/violeta-t-baddour-md/,+1 325-670-4590,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:35:55.163979,2026-03-19T02:14:55.646835,,,,,,,,,,,,,,,,,
35,"Dr. Tushar Shah, MD",Google Maps,http://www.ehendrick.org/main/find-a-physician/walker-gary-md-167.aspx,+1 325-670-2519,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-18T23:36:19.408979,2026-03-19T02:14:48.553667,,,,,,,,,,,,,,,,,
36,"Preston L Pate, MD",Google Maps,http://acmapediatric.com/,+1 325-677-6070,,https://www.facebook.com/AbileneChildrensMedicalAssociation/?ref=aymt_homepage_panel,https://www.instagram.com/docsonamission/?hl=en,,,,2026-03-18T23:36:41.079443,2026-03-18T23:36:41.079443,,,,,,,,,,,,,,,,,
37,Doctors Clinic Houston - North Freeway,Google Maps,https://healthtexas.org/primary-care/sa/wurzbach/,+1 210-616-7300,HTMG.Marketing@HealthTexas.org,https://www.facebook.com/HealthTX/,https://www.instagram.com/healthtexas/,https://www.linkedin.com/company/healthtexaspcp,,,2026-03-19T00:01:59.019816,2026-03-19T00:57:25.794560,,,,,,,,,,,,,,,,,
38,Texas Health Family Care,Google Maps,https://www.care.texashealth.org/thpg/family-care-400-west-arbrook-suite-101-arlington,+1 817-801-1456,,,,,,,2026-03-19T00:02:25.045621,2026-03-19T02:30:45.145389,,,,,,,,,,,,,,,,,
39,Texas Tech Physicians: Family Medicine,Google Maps,https://texastechphysicians.com/clinics/midland/family-medicine.aspx?utm_source=GMBSocialClimb&utm_medium=TexasTechPhysicians%3AFamilyMedicine,+1 432-620-5800,,,,,,,2026-03-19T00:02:43.751211,2026-03-19T02:30:26.530569,,,,,,,,,,,,,,,,,
40,"Jamie Willits, MD",Google Maps,https://www.abilenedocs.com/?utm_source=gmb_auth,+1 325-695-6370,,,,,,,2026-03-19T00:03:18.216118,2026-03-19T02:32:23.304293,,,,,,,,,,,,,,,,,
41,Lago Mar Medical Clinic,Google Maps,https://www.lagomarmedical.com/,+1 409-944-8513,emily@vas4hire.com,https://www.facebook.com/LAGOMARCLINIC/,https://www.instagram.com/lagomarmedical/?hl=en,,,,2026-03-19T00:03:33.551667,2026-03-19T00:03:33.551667,,,,,,,,,,,,,,,,,
42,Texas Regional Physicians,Google Maps,https://www.texasregionalphysicians.com/,+1 713-489-1741,referral@texasregionalclinic.comInsurance,https://www.facebook.com/txregional,https://www.instagram.com/texasregionalphysicians/,https://www.linkedin.com/company/texas-regional-physicians,,,2026-03-19T00:03:52.064561,2026-03-19T00:50:28.053568,,,,,,,,,,,,,,,,,
43,"Nathan Boles, DO",Google Maps,http://www.chistlukeshealth.org/primary-care-2028,+1 832-355-5575,,https://www.facebook.com/commonspirithealth,https://www.instagram.com/commonspirithealth,https://www.linkedin.com/company/commonspirithealth,,,2026-03-19T00:06:27.082052,2026-03-19T02:32:16.617531,,,,,,,,,,,,,,,,,
44,Texas Medical Clinic,Google Maps,,,,,,,,,2026-03-19T00:20:46.025165,2026-03-19T00:20:46.025165,,,,,,,,,,,,,,,,,
45,Texas Total Healthcare,Google Maps,,,,,,,,,2026-03-19T00:21:33.184639,2026-03-19T00:21:33.184639,,,,,,,,,,,,,,,,,
46,Annie Drachenberg,Google Maps,https://www.abilenefamilypractice.com/,+1 325-672-3252,,https://www.facebook.com/abilenefamilypractice/,,,,,2026-03-19T00:22:05.193452,2026-03-19T02:11:26.681809,,,,,,,,,,,,,,,,,
47,"Jennifer Attmore, MD",Google Maps,,,,,,,,,2026-03-19T00:22:36.407860,2026-03-19T00:22:36.407860,,,,,,,,,,,,,,,,,
48,"Arundhati Harati, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/jaxon-w-jordan-md/,+1 325-437-3687,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:23:39.480868,2026-03-19T02:11:54.110281,,,,,,,,,,,,,,,,,
49,"J. Paul Reynolds, MD",Google Maps,http://www.colemancountymc.com/,+1 325-625-3533,melissa.ereman@colemancountymc.com,https://www.facebook.com/Coleman-County-Medical-Center-450989214985528/,,,,,2026-03-19T00:24:42.758113,2026-03-19T02:12:41.272676,,,,,,,,,,,,,,,,,
50,Carlton Charles A MD,Google Maps,,,,,,,,,2026-03-19T00:25:45.909351,2026-03-19T00:25:45.909351,,,,,,,,,,,,,,,,,
51,Abilene Surgical Associates - Oral and Maxillofacial Surgery,Google Maps,https://www.abilenesurgicalassociates.com/,+1 325-437-3100,info@abilenesurgicalassociates.com,,,,,,2026-03-19T00:26:17.936926,2026-03-19T02:12:57.675496,,,,,,,,,,,,,,,,,
52,Jaxon Jordan,Google Maps,https://www.hendrickhealth.org/find-a-provider/jaxon-w-jordan-md/,+1 325-437-3687,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:39:46.528381,2026-03-19T02:11:46.733922,,,,,,,,,,,,,,,,,
53,"Gibel Cedeno, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/gibel-s-cedeno-md/,+1 325-428-5630,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:40:17.966095,2026-03-19T02:11:39.093845,,,,,,,,,,,,,,,,,
54,Wray T James Do,Google Maps,http://abilenedocs.com/,+1 325-695-6370,,,,,,,2026-03-19T00:40:49.804481,2026-03-19T02:12:02.563290,,,,,,,,,,,,,,,,,
55,"Dr. Pacuraru, Anca",Google Maps,,,,,,,,,2026-03-19T00:41:20.895848,2026-03-19T00:41:20.895848,,,,,,,,,,,,,,,,,
56,Texas LDN Doctor,Google Maps,https://www.ldntelemedicine.com/,+1 469-708-9408,,,,,,,2026-03-19T00:41:52.302774,2026-03-19T02:12:11.655733,,,,,,,,,,,,,,,,,
57,"Jason Bell, DO",Google Maps,https://www.hendrickhealth.org/find-a-provider/jason-c-bell-do/,+1 325-670-6460,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:42:24.341785,2026-03-19T02:12:19.411264,,,,,,,,,,,,,,,,,
58,"Anton Melnyk, M.D.",Google Maps,https://www.hendrickhealth.org/find-a-provider/farley-b-neasman-md/,+1 325-428-4790,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:42:55.989543,2026-03-19T02:15:08.928694,,,,,,,,,,,,,,,,,
59,"Elliott Vann, MD",Google Maps,https://www.hendrickhealth.org/hendrick-clinic/bone-and-joint/,+1 325-672-4372,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:43:27.723838,2026-03-19T02:12:27.182692,,,,,,,,,,,,,,,,,
60,Bacchus & Vaughan Neurology Associates LLP,Google Maps,https://www.texasoncology.com/providers/cancer-care/anton-melnyk,+1 325-692-0188,,https://www.facebook.com/TexasOncology,,https://www.linkedin.com/company/texasoncology,,,2026-03-19T00:43:58.836335,2026-03-19T02:15:25.673197,,,,,,,,,,,,,,,,,
61,"Dr. J T. Trammell, MD",Google Maps,,,,,,,,,2026-03-19T00:45:02.523114,2026-03-19T00:45:02.523114,,,,,,,,,,,,,,,,,
62,Daniel Vaughan,Google Maps,,,,,,,,,2026-03-19T00:45:33.924183,2026-03-19T00:45:33.924183,,,,,,,,,,,,,,,,,
63,"Dr. Thomas L. Headstream, MD",Google Maps,,,,,,,,,2026-03-19T00:46:05.330076,2026-03-19T00:46:05.330076,,,,,,,,,,,,,,,,,
64,"Prabhu Udayakumar, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/prabhu-d-udayakumar-md/,+1 325-670-4590,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T00:47:40.278083,2026-03-19T02:13:41.901077,,,,,,,,,,,,,,,,,
65,UT Physicians,Google Maps,https://www.utphysicians.com/,+1 888-488-3627,,https://www.facebook.com/UTPhysicians,https://www.instagram.com/utphysicians/,https://www.linkedin.com/company/ut-physicians,,,2026-03-19T00:51:58.737036,2026-03-19T02:33:18.298359,,,,,,,,,,,,,,,,,
66,HealthTexas Primary Care Doctors (Southwest Military Clinic),Google Maps,https://healthtexas.org/primary-care/sa/wurzbach/,+1 210-616-7300,HTMG.Marketing@HealthTexas.org,https://www.facebook.com/HealthTX/,https://www.instagram.com/healthtexas/,https://www.linkedin.com/company/healthtexaspcp,,,2026-03-19T00:57:21.795361,2026-03-19T00:57:21.795361,,,,,,,,,,,,,,,,,
67,"Tim Martin, MD",Google Maps,https://www.drmartinfp.com/,+1 325-232-8675,chellby@docmartincares.com,https://www.facebook.com/docmartincares/,,,,,2026-03-19T02:09:14.119272,2026-03-19T02:09:14.119272,,,,,,,,,,,,,,,,,
68,"Mark E Lawrence, DO, FACC",Google Maps,https://www.hendrickhealth.org/find-a-provider/mark-e-lawrence-do-facc/,+1 325-793-3100,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T02:14:16.687276,2026-03-19T02:14:16.687276,,,,,,,,,,,,,,,,,
69,"Dr. Gary D. Walker, MD",Google Maps,http://www.ehendrick.org/main/find-a-physician/walker-gary-md-167.aspx,+1 325-670-2519,,,,,,,2026-03-19T02:14:37.085327,2026-03-19T02:14:37.085327,,,,,,,,,,,,,,,,,
70,"Farley Neasman III, MD",Google Maps,https://www.hendrickhealth.org/find-a-provider/farley-b-neasman-md/,+1 325-428-4790,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T02:15:01.088663,2026-03-19T02:15:01.088663,,,,,,,,,,,,,,,,,
71,Texas Tech University Health Sciences Center at Amarillo,Google Maps,http://www.ttuhsc.edu/amarillo,+1 806-414-9608,,,,,,,2026-03-19T02:15:58.304404,2026-03-19T02:15:58.304404,,,,,,,,,,,,,,,,,
72,"Wendi Rice, CNM",Google Maps,https://www.hendrickhealth.org/hendrick-clinic/ear-nose-and-throat/,+1 325-437-3687,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T02:16:22.189706,2026-03-19T02:16:30.003066,,,,,,,,,,,,,,,,,
73,Texas Hand Center,Google Maps,https://www.hendrickhealth.org/find-a-provider/wendi-v-rice-cnm/,+1 325-794-5348,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T02:16:35.879708,2026-03-19T02:16:44.361783,,,,,,,,,,,,,,,,,
74,"Stuart A Martin, MD",Google Maps,https://www.texasoncology.com/oncologist/lute-oas,+1 325-692-0188,,https://www.facebook.com/TexasOncology,,https://www.linkedin.com/company/texasoncology,,,2026-03-19T02:16:53.129155,2026-03-19T02:17:03.414534,,,,,,,,,,,,,,,,,
75,Texas Tech University Health Sciences Center,Google Maps,http://www.victoryspinalcare.com/,+1 325-704-3310,info@victoryspinalcare.com,https://www.facebook.com/victoryspinalcare/,https://www.instagram.com/victoryspinalcare/,,,,2026-03-19T02:17:26.951661,2026-03-19T02:17:26.951661,,,,,,,,,,,,,,,,,
76,Dr. Stephen Johnson,Google Maps,https://www.hendrickhealth.org/find-a-provider/randy-c-daniell-md2/,+1 325-670-4000,,https://www.facebook.com/hendrickhealth,https://www.instagram.com/hendrickhealth/,https://www.linkedin.com/company/hendrick-health-system/,,,2026-03-19T02:17:48.208142,2026-03-19T02:17:48.208142,,,,,,,,,,,,,,,,,
77,MyEyeDr.,Google Maps,https://www.johnsonchiropracticabilene.com/,+1 325-695-5220,,,,,,,2026-03-19T02:17:58.270983,2026-03-19T02:17:58.270983,,,,,,,,,,,,,,,,,
78,"c.a.l.m. Healthcare | Medical Consultation, Weight Loss, Depression",Google Maps,http://www.calmhealthcaretexas.com/,,helpdesk@calmhealthcaretexas.com,https://www.facebook.com/calm.medicine/,https://www.instagram.com/c.a.l.m.healthcare/,,,,2026-03-19T02:18:06.728785,2026-03-19T02:18:06.728785,,,,,,,,,,,,,,,,,
79,209 NYC Dental,Google Maps,https://www.209nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 212-355-2290,emergency@209nycdental.com,https://www.facebook.com/209nycDentist/,https://www.instagram.com/209nycdental/,,,,2026-03-24T03:20:52.805902,2026-03-24T03:20:52.805902,,,,,,,,,,,,,,,,,
80,Pearl Dental NYC,Google Maps,https://www.newyorkdentaloffice.com/,+1 212-548-3261,,https://www.facebook.com/NewYorkDentalOffice/,,,,,2026-03-24T03:21:06.118500,2026-03-24T03:21:24.906148,,,,,,,,,,,,,,,,,
81,Midtown Dental Care Associates,Google Maps,https://www.pearldentalnyc.com/,+1 212-344-9317,info@pearldentalnyc.com,https://www.facebook.com/pearldentalnyc,https://www.instagram.com/pearldentalnyc/,,,,2026-03-24T03:22:37.375443,2026-03-24T03:22:37.375443,,,,,,,,,,,,,,,,,
82,Les Belles NYC Dentistry,Google Maps,https://www.midtowndentalcareassociates.com/?utm_source=gmb&utm_medium=organic,+1 212-685-4730,smiles@midtowndentalcareassociates.com,https://www.facebook.com/midtowndentalcareassociates/,https://www.instagram.com/mdca_dentists/,,,,2026-03-24T03:23:07.788253,2026-03-24T03:23:07.788253,,,,,,,,,,,,,,,,,
83,Sky Dental,Google Maps,https://www.lesbellesnyc.com/,+1 212-804-8884,info@lesbellesnyc.com,https://www.facebook.com/LesBellesNYC/,https://www.instagram.com/lesbellesnyc/,,,,2026-03-24T03:23:42.054800,2026-03-24T03:23:42.054800,,,,,,,,,,,,,,,,,
84,Maiden Lane Dental - Financial District NYC,Google Maps,https://skydentalnyc.com/?utm_campaign=gmb,+1 212-600-1996,contactus@skydentalnyc.com,https://www.facebook.com/skydentalnyc/,https://www.instagram.com/skydentalnyc/,,,,2026-03-24T03:23:59.431672,2026-03-24T03:23:59.431672,,,,,,,,,,,,,,,,,
85,Smile Arts of NY,Google Maps,https://172nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 646-921-5541,info@172nycdental.com,https://www.facebook.com/209nycDentist/,https://www.instagram.com/172nycdental/,,,,2026-03-24T03:24:28.007631,2026-03-24T03:24:28.007631,,,,,,,,,,,,,,,,,
86,Tribeca Dental Care,Google Maps,https://www.sohodentalgroup.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,+1 212-878-7646,,https://www.facebook.com/sohodentalgroup/,https://www.instagram.com/sohodentalgroup/?hl=en,,,,2026-03-24T03:24:59.957436,2026-03-24T03:25:14.819112,,,,,,,,,,,,,,,,,
87,NYC Smile Spa,Google Maps,https://tribecanydentistoffice.com/,+1 212-431-4582,,https://www.facebook.com/TribecaDentalCare/,https://www.instagram.com/tribecadentalcare/,,,,2026-03-24T03:25:39.004052,2026-03-24T03:25:39.004052,,,,,,,,,,,,,,,,,
88,Smile Cafe Dental Spa,Google Maps,https://www.nycsmilespa.com/,+1 646-374-2242,,https://www.facebook.com/NYCSmileSpa/,https://www.instagram.com/nycsmilespa/,,,,2026-03-24T03:28:25.764803,2026-03-24T03:28:25.764803,,,,,,,,,,,,,,,,,
89,Expert Dental - Midtown,Google Maps,http://www.smilecafeny.com/,+1 212-779-7743,nysmiles05@yahoo.com,https://www.facebook.com/profile.php?id=100094358854448,https://www.instagram.com/smilecafedentalspa_nyc,,,,2026-03-24T03:28:42.396269,2026-03-24T03:28:42.396269,,,,,,,,,,,,,,,,,
90,Village Dental NYC,Google Maps,https://www.expertdentalnyc.com/,+1 212-763-3383,,https://www.facebook.com/ExpertDental,https://www.instagram.com/expertdentalnyc/,,,,2026-03-24T03:28:55.302613,2026-03-24T03:28:55.302613,,,,,,,,,,,,,,,,,
91,212 Dental Care,Google Maps,https://villagedentalnyc.com/,+1 332-230-4916,,,,,,,2026-03-24T03:29:01.857221,2026-03-24T03:29:01.857221,,,,,,,,,,,,,,,,,
92,City Dental Group NYC,Google Maps,http://212dentalcare.com/,+1 888-506-9583,,https://facebook.com/212dentalcare,https://instagram.com/212dentalcare_nyc,,,,2026-03-24T03:29:14.193649,2026-03-24T03:29:20.476545,,,,,,,,,,,,,,,,,
93,New York Family Dental Arts,Google Maps,https://citydentalnyc.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+1 212-425-0505,info@citydentalnyc.com,https://facebook.com/citydentalnyc,https://www.instagram.com/citydentalpc/,,,,2026-03-24T03:29:31.309587,2026-03-24T03:29:31.309587,,,,,,,,,,,,,,,,,
94,Midtown Dental Group Upper East Side,Google Maps,https://midtowndentalgroup.com/locations/uppereastside/,+1 212-588-1809,,,,,,,2026-03-24T03:29:49.760181,2026-03-24T03:29:49.760181,,,,,,,,,,,,,,,,,
